flag,ID,character,context,position,jump,backGround,effect
#,0,Angel,沒想到真的是生日，姐姐也太蠢了吧,middleright,1,AnnaRoom,0
#,1,Calina,有解開就好了啦，看看安娜寫了什麼,middleleft,2,AnnaRoom,0
#,2,Angel,12/1，這天是姐姐離開的那天,middleright,3,AnnaRoom,0
#,3,Anna,寫匿名信的就是你嗎,middle,4,tavernBasement,1
#,4,Paul,恩,middleleft,5,tavernBasement,1
#,5,Anna,你都知道什麼,middleright,6,tavernBasement,1
#,6,Paul,就如同我信上講的,middleleft,7,tavernBasement,1
#,7,Paul,我原本是科技公司的技術人員,middleleft,8,tavernBasement,1
#,8,Paul,意外看到一張人事任命的清單,middleleft,9,tavernBasement,1
#,9,Paul,上面面滿滿的精靈跟獸人的名字,middleleft,10,tavernBasement,1
#,10,Paul,他們沒有任何科學背景，卻被任命到總部工作,middleleft,11,tavernBasement,1
#,11,Anna,你是來找我吐苦水的?我可沒有時間陪你喝酒,middleright,12,tavernBasement,1
#,12,Paul,能不能有點耐心聽我講完,middleleft,13,tavernBasement,1
#,13,Paul,我一開始忿忿不平，但仔細一看,middleleft,14,tavernBasement,1
#,14,Paul,這張任命單是去年的,middleleft,15,tavernBasement,1
#,15,Paul,理論上應該有大量的精靈和獸人來到總部,middleleft,16,tavernBasement,1
#,16,Paul,但近年來總部除了人，沒有看到其他種族，一個都沒有,middleleft,17,tavernBasement,1
#,17,Anna,...我知道了，我會調查這件事,middleright,18,tavernBasement,1
#,18,Paul,請一定要小心,,19,tavernBasement,1
END,19,,,,,,0
